ID,Data,City,STATE,Type,Ideology,Address,group,description
1696,2/1/06,New Bedford,MA,Terrorist Plot/Attack,Right Wing (White Supremacist),"426 N Front St New Bedford, MA 02746",,"White supremacist Jacob Robida killed himself in February 2006 after attacking patrons in a gay bar in New Bedford with a hatchet and firearm, wounding three. He fled to West Virginia, picked up a female companion, and continued his flight west. Pulled over by a police officer in Arkansas, he shot and killed the officer. Later cornered by police, he killed his companion and then himself.
"
2695,3/3/08,Woodinville,WA,Terrorist Plot/Attack,Left Wing,"Echo Lake Rd High Bridge, WA 98296",Earth Liberation Front,"Earth Liberation Front activists set fire to three homes, leaving a sign mocking the builders' claims that the houses were environmentally friendly.
"
2227,8/2/08,Santa Cruz,CA,Terrorist Plot/Attack,Left Wing,,Animal Liberation Front,"The Animal Liberation Front claimed responsibility for two firebombings targeting two researchers' properties, one of which was a front porch. One victim suffered injuries after escaping from the second-floor window of the burning home.
"
2694,12/12/08,Woodburn,OR,Extremist Murder;Terrorist Plot/Attack,Right Wing (Anti-Government),1755 Mount Hood Ave Woodburn OR 97071,,"Bruce A. Turidge, and his son Joshua A. Turnidge, both anti-government extremists, killed two police officers and critically injured a third after planting a bomb at a small Oregon bank as part of a robbery attempt.
"
335,1/21/09,Brockton,MA,Extremist Murder;Extremist/Police Shootout;Terrorist Plot/Attack,Right Wing (White Supremacist),"103 Clinton St Brockton, MA 02302",,"Keith Luke, 22, went on a racially motivated shooting spree in which he killed two Cape Verdean immigrants and critically injured (and raped) a third, before being stopped on his way to open fire at a synagogue. In May 2013, Luke was sentenced to two consecutive life sentences without parole for the 2009 rampage. In May 2014, correctional officers found him dead of an apparent suicide.
"
2648,3/7/09,Westwood,CA,Terrorist Plot/Attack,Left Wing,,Animal Liberation Front,"Animal Liberation Front activists set fire to a UCLA neuroscientists' car, claiming he used methamphetamines and other street drugs on monkeys.
"
2598,6/10/09,Washington,DC,Extremist Murder;Terrorist Plot/Attack,Right Wing (White Supremacist),"100 Raoul Wallenberg Pl SW, Washington, DC 20024",,"White supremacist James Von Brunn, 88, brought a rifle into the U.S. Holocaust Memorial Museum and opened fire, killing a security guard before being critically injured by return fire from another guard. Von Brunn was arrested and charged with murder. He died of natural causes while awaiting trial.
"
2251,10/31/09,Seattle,WA,Extremist Murder;Extremist/Police Shootout;Terrorist Plot/Attack,Left Wing,"714 S Charles St Seattle, WA 98134",,"Christopher John Monfort, 41, firebombed four police cars; police investigating that crime encountered Monfort, who shot and killed one officer and wounded another. He was shot in return and captured.
"
154,2/18/10,Austin,TX,Extremist Murder;Terrorist Plot/Attack,Right Wing (Anti-Government),"9430 Research Blvd Austin, TX 78759",,"Tax proteser Andrew Joseph Stack flew a plane into an IRS office building, killing himself and one other person in the process, and wounding 13 more.
"
87,3/4/10,Arlington,VA,Extremist/Police Shootout;Terrorist Plot/Attack,Right Wing (Anti-Government),"Richmond Hwy./VA 110 at I-395, Arlington, Virginia",,"Pentagon officers shot John Patrick Bedell, who drove to the building from California and opened fire at a security checkpoint. Bedell wounded two officers, who returned fire. He died due to his injuries.
"
